sc_status,income,purpose,activity,project_cost,loan_required,education_level,course,course_type,course_recognized,location,recommended_scheme
Yes,96991,Business,Poultry,63496,60351,NA,NA,NA,NA,Urban,MFS
Yes,335994,Business,Repair Shop,644210,155434,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,451358,Business,Repair Shop,127836,99824,NA,NA,NA,NA,Urban,MFS
Yes,78215,Education,NA,1090864,1090864,Graduate,Nursing,Professional,Yes,Rural,ELS
Yes,316175,Business,Small Manufacturing,133300,23256,NA,NA,NA,NA,Rural,MFS
Yes,395436,Education,NA,2037700,135859,12th,Nursing,Management,Yes,Rural,ELS
Yes,107914,Business,Poultry,427145,104880,NA,NA,NA,NA,Rural,UNY
Yes,95893,Education,NA,3975197,2851616,Graduate,Pharmacy,Management,Yes,Rural,ELS
Yes,152284,Business,Small Manufacturing,67010,55637,NA,NA,NA,NA,Urban,AMY
Yes,396812,Business,Service Business,469115,122921,NA,NA,NA,NA,Rural,UNY
Yes,83896,Business,Tailoring,128867,31137,NA,NA,NA,NA,Rural,AMY
Yes,175082,Business,Service Business,82535,64190,NA,NA,NA,NA,Rural,MFS
Yes,121846,Business,Computer Centre,35938,11275,NA,NA,NA,NA,Urban,MFS
Yes,385296,Business,Small Manufacturing,98610,93858,NA,NA,NA,NA,Urban,MFS
Yes,253690,Business,Fisheries,391674,160273,NA,NA,NA,NA,Rural,UNY
Yes,75421,Education,NA,3504912,1245525,12th,BTech,Professional,Yes,Rural,ELS
Yes,338356,Business,Small Manufacturing,123000,18511,NA,NA,NA,NA,Urban,MFS
Yes,160631,Business,Service Business,3741702,3582937,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,344077,Business,Service Business,137874,11301,NA,NA,NA,NA,Rural,AMY
Yes,144137,Business,Poultry,44933,40335,NA,NA,NA,NA,Urban,MFS
No,108423,Business,Computer Centre,283534,308290,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,143555,Business,Food Business,109993,61463,NA,NA,NA,NA,Rural,MFS
Yes,364653,Education,NA,2711256,1564175,Graduate,Engineering,Medical,Yes,Urban,ELS
Yes,151090,Education,NA,3841873,2577453,Postgraduate,Law,Management,Yes,Rural,ELS
Yes,65340,Business,Grocery Shop,117896,56076,NA,NA,NA,NA,Rural,MFS
Yes,404648,Education,NA,1215507,1215507,12th,Pharmacy,Management,Yes,Urban,ELS
Yes,251362,Business,Computer Centre,67389,31155,NA,NA,NA,NA,Rural,AMY
Yes,364801,Business,Food Business,60263,34867,NA,NA,NA,NA,Rural,AMY
Yes,52699,Business,Tailoring,1000734,969547,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,226154,Business,Tailoring,174897,39349,NA,NA,NA,NA,Rural,UNY
Yes,495072,Business,Food Business,7614289,5450844,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,347558,Business,Grocery Shop,1496930,529853,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,754260,Business,Food Business,150740,351560,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,738715,Business,Poultry,72841,253070,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
No,214893,Business,Tailoring,197762,372613,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,339866,Business,Service Business,349828,176979,NA,NA,NA,NA,Rural,UNY
Yes,246427,Education,NA,2826586,1119407,Postgraduate,MBA,Technical,Yes,Urban,ELS
Yes,107854,Education,NA,1726948,351833,Graduate,MCA,Management,Yes,Urban,ELS
Yes,458213,Education,NA,2223257,1246526,Graduate,Law,Medical,Yes,Urban,ELS
Yes,322670,Business,Computer Centre,35387,28989,NA,NA,NA,NA,Rural,AMY
Yes,235563,Business,Computer Centre,73741,57625,NA,NA,NA,NA,Urban,AMY
Yes,489020,Education,NA,4385977,2002313,Postgraduate,Law,Professional,Yes,Rural,ELS
Yes,117864,Education,NA,3335462,2174500,12th,Law,Professional,Yes,Rural,ELS
Yes,421770,Education,NA,3410847,620207,Postgraduate,Law,Technical,Yes,Rural,ELS
Yes,444009,Business,Service Business,116298,51259,NA,NA,NA,NA,Rural,AMY
Yes,156181,Business,Service Business,304606,189560,NA,NA,NA,NA,Rural,UNY
Yes,57543,Business,Computer Centre,182966,146142,NA,NA,NA,NA,Urban,UNY
Yes,74730,Business,Small Manufacturing,6876171,5137532,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,496917,Education,NA,3681293,1711019,Graduate,BCA,Technical,Yes,Urban,ELS
Yes,149497,Business,Service Business,101137,74237,NA,NA,NA,NA,Rural,MFS
Yes,342690,Business,Food Business,108918,90505,NA,NA,NA,NA,Urban,AMY
Yes,666429,Business,Fisheries,79741,288216,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,390845,Business,Computer Centre,763324,463513,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,261206,Education,NA,2917968,2531561,Graduate,MBA,Technical,No,Rural,NO_ELIGIBLE_SCHEME
No,388024,Business,Service Business,393820,77259,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,333392,Business,Small Manufacturing,136100,122678,NA,NA,NA,NA,Rural,MFS
Yes,76277,Business,Transport,285071,209729,NA,NA,NA,NA,Urban,UNY
Yes,323804,Education,NA,2391286,1480782,Postgraduate,Medical,Management,No,Rural,NO_ELIGIBLE_SCHEME
Yes,597781,Business,Grocery Shop,488570,210094,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,437817,Education,NA,613406,2356297,Graduate,BCA,Professional,No,Rural,NO_ELIGIBLE_SCHEME
Yes,91545,Business,Fisheries,512925,177160,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,458596,Business,Poultry,255053,151103,NA,NA,NA,NA,Rural,UNY
Yes,396695,Business,Food Business,105744,72642,NA,NA,NA,NA,Urban,AMY
Yes,439055,Business,Grocery Shop,85703,43901,NA,NA,NA,NA,Urban,AMY
Yes,679753,Business,Transport,115730,299418,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,203034,Business,Grocery Shop,112324,80482,NA,NA,NA,NA,Rural,AMY
Yes,74026,Education,NA,1515709,1515709,Postgraduate,BTech,Professional,Yes,Rural,ELS
Yes,367281,Business,Fisheries,313478,42779,NA,NA,NA,NA,Urban,UNY
Yes,94012,Business,Transport,81645,13552,NA,NA,NA,NA,Rural,MFS
Yes,129536,Education,NA,1221527,1221527,Postgraduate,MCA,Medical,Yes,Rural,ELS
Yes,251688,Business,Repair Shop,63158,46223,NA,NA,NA,NA,Urban,MFS
Yes,66057,Business,Small Manufacturing,4034896,67969,NA,NA,NA,NA,Urban,TERM_LOAN
