feature,importance
numeric__project_cost,0.35569135002286234
numeric__loan_required,0.23685364746750204
numeric__income,0.12239071810319714
categorical__course_recognized_Yes,0.06327366164704186
categorical__course_recognized_No,0.02670159568852883
categorical__education_level_nan,0.023893576826857985
categorical__course_recognized_nan,0.02124918899366914
categorical__sc_status_Yes,0.020759068323226132
categorical__course_nan,0.019736390013862078
categorical__sc_status_No,0.019406405475709394
categorical__purpose_Business,0.018997365621127995
categorical__course_type_nan,0.01817559602967812
categorical__activity_nan,0.015622593429405116
categorical__purpose_Education,0.014392981432253373
categorical__education_level_Graduate,0.0024196258273486387
categorical__education_level_Postgraduate,0.0018681433376586567
categorical__education_level_12th,0.001600147899297136
categorical__location_Urban,0.0014410421894671787
categorical__location_Rural,0.001408751183790488
categorical__activity_Service Business,0.0012688130255169956
categorical__activity_Small Manufacturing,0.0011891779664925627
categorical__activity_Repair Shop,0.0011860054159253143
categorical__activity_Food Business,0.001178871921245611
categorical__activity_Fisheries,0.0011430252217052043
categorical__activity_Tailoring,0.0010963631184581475
categorical__activity_Transport,0.0010960732277311548
categorical__activity_Computer Centre,0.0010806919860238563
categorical__activity_Grocery Shop,0.0010722138229649026
categorical__activity_Poultry,0.0010531439776930024
categorical__course_type_Management,0.0007175432204071265
categorical__course_type_Medical,0.0004459398292638539
categorical__course_type_Professional,0.000421273910552208
categorical__course_type_Technical,0.00024593723685447516
categorical__course_Nursing,0.0002095312538109171
categorical__course_Law,0.0001883162464631967
categorical__course_BCA,0.00011061366184079513
categorical__course_MBA,9.72772366851959e-05
categorical__course_BTech,9.690462495982526e-05
categorical__course_Medical,8.231240045829534e-05
categorical__course_Engineering,5.1461937146851726e-05
categorical__course_Pharmacy,4.9346651144371845e-05
categorical__course_MCA,3.731259417257073e-05
